id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
134,35,filter_airpods_button,v5,0.93,0.7954,0.8376,0.5425,0.764,0.8597,button,,IPHONE,0,2026-05-26 11:31:36
135,35,filter_airpods_button,v5,0.93,0.7582,0.8501,0.5914,0.764,0.8509,button,,IPAD,0,2026-05-26 11:31:36
136,35,filter_airpods_button,v5,0.93,0.7286,0.8626,0.6311,0.764,0.8447,button,,MACBOOK,0,2026-05-26 11:31:36
137,35,filter_airpods_button,v5,0.842,0.62,0.8251,0.5408,0.764,0.764,button,,TẤT CẢ,0,2026-05-26 11:31:36
138,35,filter_airpods_button,v5,0.7729,0.696,0.6624,0.5387,0.764,0.7166,button,,Sửa,0,2026-05-26 11:31:36
139,36,filter_Tất cả_button,v5,0.93,1.0,0.88,0.6662,0.764,0.9391,button,,TẤT CẢ,1,2026-05-26 11:32:09
140,36,filter_Tất cả_button,v5,0.842,0.6785,0.8376,0.5851,0.764,0.7868,button,,MACBOOK,0,2026-05-26 11:32:09
141,36,filter_Tất cả_button,v5,0.842,0.62,0.8626,0.6581,0.764,0.7745,button,,IPHONE,0,2026-05-26 11:32:09
142,36,filter_Tất cả_button,v5,0.842,0.62,0.8501,0.6214,0.764,0.771,button,,IPAD,0,2026-05-26 11:32:09
143,36,filter_Tất cả_button,v5,0.842,0.62,0.8251,0.5425,0.764,0.764,button,,AIRPODS,0,2026-05-26 11:32:09
144,36,filter_Tất cả_button,v5,0.7467,0.7213,0.7627,0.5404,0.764,0.7428,button,,Đăng xuất,0,2026-05-26 11:32:09
145,37,email_field,v6,0.2708,1.0,0.7882,0.7524,0.764,0.6563,input,v6-login-email,,1,2026-05-26 11:32:23
146,37,email_field,v6,0.0717,1.0,0.7334,0.6526,0.764,0.5633,input,v6-login-password,,0,2026-05-26 11:32:23
147,38,password_field,v6,0.3832,1.0,0.7612,0.7396,0.764,0.6926,input,v6-login-password,,1,2026-05-26 11:32:23
148,38,password_field,v6,0.255,0.95,0.7408,0.7356,0.764,0.6204,input,v6-login-email,,0,2026-05-26 11:32:23
149,39,login_button,v6,0.6925,0.6891,0.931,0.7298,0.764,0.7582,button,v6-btn-login,Truy cập ngay,1,2026-05-26 11:32:24
150,40,search_input,v6,0.3523,1.0,0.6832,0.7545,0.764,0.6587,input,v6-prod-search,,1,2026-05-26 11:32:27
151,41,filter_iphone_button,v6,0.9016,1.0,0.88,0.7471,0.764,0.928,button,v6-prod-filter-iphone,IPHONE,1,2026-05-26 11:33:00
152,41,filter_iphone_button,v6,0.8895,0.7954,0.8376,0.6148,0.764,0.8439,button,v6-prod-filter-airpods,AIRPODS,0,2026-05-26 11:33:00
153,41,filter_iphone_button,v6,0.8889,0.772,0.8626,0.7255,0.764,0.843,button,v6-prod-filter-ipad,IPAD,0,2026-05-26 11:33:00
154,41,filter_iphone_button,v6,0.8823,0.6785,0.8501,0.6846,0.764,0.806,button,v6-prod-filter-macbook,MACBOOK,0,2026-05-26 11:33:00
155,41,filter_iphone_button,v6,0.794,0.62,0.8626,0.7044,0.764,0.7558,button,v6-prod-filter-all,TẤT CẢ,0,2026-05-26 11:33:00
156,41,filter_iphone_button,v6,0.7467,0.6707,0.7707,0.5397,0.764,0.7283,button,,Đăng xuất,0,2026-05-26 11:33:00
157,42,filter_ipad_button,v6,0.8994,1.0,0.88,0.7457,0.764,0.9272,button,v6-prod-filter-ipad,IPAD,1,2026-05-26 11:33:33
158,42,filter_ipad_button,v6,0.8916,0.8273,0.8501,0.6754,0.764,0.8588,button,v6-prod-filter-airpods,AIRPODS,0,2026-05-26 11:33:33
159,42,filter_ipad_button,v6,0.8889,0.772,0.8626,0.6981,0.764,0.843,button,v6-prod-filter-iphone,IPHONE,0,2026-05-26 11:33:33
160,42,filter_ipad_button,v6,0.8841,0.6891,0.8626,0.7352,0.764,0.8137,button,v6-prod-filter-macbook,MACBOOK,0,2026-05-26 11:33:33
161,42,filter_ipad_button,v6,0.8002,0.62,0.8501,0.6421,0.764,0.7547,button,v6-prod-filter-all,TẤT CẢ,0,2026-05-26 11:33:33
162,42,filter_ipad_button,v6,0.7467,0.62,0.7832,0.5429,0.764,0.7151,button,,Đăng xuất,0,2026-05-26 11:33:33
163,43,filter_macbook_button,v6,0.9025,1.0,0.88,0.7443,0.764,0.9284,button,v6-prod-filter-macbook,MACBOOK,1,2026-05-26 11:34:07
164,43,filter_macbook_button,v6,0.885,0.7286,0.8626,0.7229,0.764,0.8271,button,v6-prod-filter-airpods,AIRPODS,0,2026-05-26 11:34:07
165,43,filter_macbook_button,v6,0.8841,0.6891,0.8626,0.7027,0.764,0.8137,button,v6-prod-filter-ipad,IPAD,0,2026-05-26 11:34:07
166,43,filter_macbook_button,v6,0.8823,0.6785,0.8501,0.6478,0.764,0.806,button,v6-prod-filter-iphone,IPHONE,0,2026-05-26 11:34:07
167,43,filter_macbook_button,v6,0.797,0.6785,0.8376,0.5881,0.764,0.7693,button,v6-prod-filter-all,TẤT CẢ,0,2026-05-26 11:34:07
168,43,filter_macbook_button,v6,0.7467,0.62,0.7957,0.5373,0.764,0.7186,button,,Đăng xuất,0,2026-05-26 11:34:07
169,44,filter_airpods_button,v6,0.9025,1.0,0.88,0.742,0.764,0.9284,button,v6-prod-filter-airpods,AIRPODS,1,2026-05-26 11:34:41
170,44,filter_airpods_button,v6,0.8895,0.7954,0.8376,0.5725,0.764,0.8439,button,v6-prod-filter-iphone,IPHONE,0,2026-05-26 11:34:41
171,44,filter_airpods_button,v6,0.8878,0.7582,0.8501,0.6312,0.764,0.8345,button,v6-prod-filter-ipad,IPAD,0,2026-05-26 11:34:41
172,44,filter_airpods_button,v6,0.885,0.7286,0.8626,0.6832,0.764,0.8271,button,v6-prod-filter-macbook,MACBOOK,0,2026-05-26 11:34:41
173,44,filter_airpods_button,v6,0.797,0.62,0.8251,0.5408,0.764,0.7465,button,v6-prod-filter-all,TẤT CẢ,0,2026-05-26 11:34:41
174,44,filter_airpods_button,v6,0.7467,0.62,0.7832,0.5387,0.764,0.7151,button,,Đăng xuất,0,2026-05-26 11:34:41
175,45,filter_Tất cả_button,v6,0.8981,1.0,0.88,0.7481,0.764,0.9267,button,v6-prod-filter-all,TẤT CẢ,1,2026-05-26 11:35:13
176,45,filter_Tất cả_button,v6,0.797,0.6785,0.8376,0.6229,0.764,0.7693,button,v6-prod-filter-macbook,MACBOOK,0,2026-05-26 11:35:13
177,45,filter_Tất cả_button,v6,0.794,0.62,0.8626,0.7283,0.764,0.7558,button,v6-prod-filter-iphone,IPHONE,0,2026-05-26 11:35:13
178,45,filter_Tất cả_button,v6,0.8002,0.62,0.8501,0.6702,0.764,0.7547,button,v6-prod-filter-ipad,IPAD,0,2026-05-26 11:35:13
179,45,filter_Tất cả_button,v6,0.797,0.62,0.8251,0.551,0.764,0.7465,button,v6-prod-filter-airpods,AIRPODS,0,2026-05-26 11:35:13
180,45,filter_Tất cả_button,v6,0.7467,0.7213,0.7627,0.5404,0.764,0.7428,button,,Đăng xuất,0,2026-05-26 11:35:13
181,46,email_field,v7,0.33,1.0,0.867,0.6398,0.484,0.7015,input,,,1,2026-05-26 11:35:27
182,46,email_field,v7,0.23,1.0,0.8101,0.7483,0.484,0.6465,input,,,0,2026-05-26 11:35:27
183,47,password_field,v7,0.33,1.0,0.8718,0.7286,0.484,0.7028,input,,,1,2026-05-26 11:35:28
